code,name,sector
1301,極洋,水産・農林業
1305,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,-
1306,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,-
1308,上場インデックスファンドＴＯＰＩＸ,-
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,-
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品
1311,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,-
1319,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,-
131A,ＣＣＮグループ,情報・通信業
1320,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,-
1321,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,-
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,-
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,-
1326,ＳＰＤＲゴールド・シェア,-
1328,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,-
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,-
132A,アイエヌホールディングス,陸運業
1330,上場インデックスファンド２２５,-
1332,ニッスイ,水産・農林業
1333,マルハニチロ,水産・農林業
133A,グローバルＸ　超短期米国債　ＥＴＦ,-
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,-
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,-
1346,ＭＡＸＩＳ　日経２２５上場投信,-
1348,ＭＡＸＩＳ　トピックス上場投信,-
1349,ＡＢＦ汎アジア債券インデックス・ファンド,-
134A,アプライズ,サービス業
1356,ＴＯＰＩＸベア２倍上場投信,-
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,-
1358,上場インデックスファンド日経レバレッジ指数,-
135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業
1360,日経平均ベア２倍上場投信,-
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,-
1365,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,-
1366,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,-
1367,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,-
1368,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,-
1369,Ｏｎｅ　ＥＴＦ　日経２２５,-
136A,三興商事,建設業
1375,ユキグニファクトリー,水産・農林業
1376,カネコ種苗,水産・農林業
1377,サカタのタネ,水産・農林業
1379,ホクト,水産・農林業
137A,Ｃｏｃｏｌｉｖｅ,情報・通信業
1380,秋川牧園,水産・農林業
1381,アクシーズ,水産・農林業
1382,ホーブ,水産・農林業
1383,ベルグアース,水産・農林業
1384,ホクリヨウ,水産・農林業
138A,光フードサービス,小売業
1397,ＳＭＤＡＭ　日経２２５上場投信,-
1398,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,-
1399,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,-
139A,東日本地所,不動産業
1401,エムビーエス,建設業
1407,ウエストホールディングス,建設業
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,-
1414,ショーボンドホールディングス,建設業
1417,ミライト・ワン,建設業
1418,インターライフホールディングス,建設業
1419,タマホーム,建設業
141A,トライアルホールディングス,小売業
1420,サンヨーホームズ,建設業
1429,日本アクア,建設業
142A,ジンジブ,サービス業
1430,ファーストコーポレーション,建設業
1431,Ｌｉｂ　Ｗｏｒｋ,建設業
1432,動力,建設業
1433,ベステラ,建設業
1434,ＪＥＳＣＯホールディングス,建設業
1435,ｒｏｂｏｔ　ｈｏｍｅ,不動産業
1436,グリーンエナジー＆カンパニー,建設業
1438,岐阜造園,建設業
143A,イシン,サービス業
1443,技研ホールディングス,建設業
1444,ニッソウ,建設業
1445,ひかりホールディングス,建設業
1446,キャンディル,建設業
1447,ＳＡＡＦホールディングス,建設業
144A,エネルギーパワー,建設業
1450,ＴＡＮＡＫＥＮ,建設業
1452,横浜ライト工業,建設業
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,-
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,-
